Feature,Coefficient
num__ERA_last,-1.848305828
num__K9_mean3,-0.338037888
num__K9_trend,-0.12298101
num__BB9_last,-0.100147123
num__HR9_trend,-0.034543547
num__age,-0.030931851
num__WHIP_mean3,-0.025795163
num__IP_last,-0.019088244
num__ERA_trend,-0.007926687
num__WHIP_trend,0.015408942
num__IP_mean3,0.026286203201211066
num__IP_trend,0.034840136
num__K9_last,0.042982682
num__BB9_trend,0.06060949
num__HR9_last,0.10427441582615053
num__WHIP_last,0.16020863616958836
num__BB9_mean3,0.19391215563735958
num__HR9_mean3,0.23239696303138377
num__ERA_mean3,0.28579319594500213
